name,ISIN,symbol,market,trading currency
AGUAS DA CURIA,PTCUR0AP0000,CUR,Euronext Access Lisbon,EUR
AHOLD DEL,NL0011794037,AD,Euronext Amsterdam,
AIB GROUP PLC,IE00BF0L3536,A5G,Euronext Dublin,EUR
AIR FRANCE -KLM,FR0000031122,AF,Euronext Paris,
AIR LIQUIDE,FR0000120073,AI,Euronext Paris,EUR
AIR MARINE,FR0013285103,MLAIM,Euronext Access Paris,EUR
AIRBUS,NL0000235190,AIR,Euronext Paris,EUR
AIRTHINGS,NO0010895568,AIRX,Euronext Growth Oslo,NOK
AIRTIME,IT0005450819,ALAIR,Euronext Growth Paris,EUR
AIRWELL,FR0014003V77,MLAIR,Euronext Access Paris,EUR
AJAX,NL0000018034,AJAX,Euronext Amsterdam,EUR
AKASTOR,NO0010215684,AKAST,Oslo Børs,NOK
AKER,NO0010234552,AKER,Oslo Børs,NOK
AKER BIOMARINE,NO0010886625,AKBM,Oslo Børs,NOK
AKER BP,NO0010345853,AKRBP,Oslo Børs,NOK
AKER CARBON CAPTUR,NO0010890304,ACC,Oslo Børs,NOK
AKER CLEAN HYDROGE,NO0010936081,ACH,Euronext Growth Oslo,NOK
AKER HORIZONS,NO0010921232,AKH,Oslo Børs,NOK
AKER OFFSHORE WIND,NO0010890312,AOW,Euronext Growth Oslo,NOK
AKER SOLUTIONS,NO0010716582,AKSO,Oslo Børs,NOK
AKKA TECHNOLOGIES,FR0004180537,AKA,Euronext Paris,
AKOBO MINERALS,SE0015193412,AKOBO,Euronext Growth Oslo,NOK
AKVA GROUP,NO0003097503,AKVA,Oslo Børs,NOK
AKWEL,FR0000053027,AKW,Euronext Paris,EUR
AKZO NOBEL,NL0013267909,AKZA,Euronext Amsterdam,EUR
ALAN ALLMAN,FR0000062465,AAA,Euronext Paris,EUR
ALBIOMA,FR0000060402,ABIO,Euronext Paris,EUR
ALBIOMA BSAAR 2018,FR0013368438,ABIBS,Euronext Growth Paris,EUR
ALCHIMIE,FR0014000JX7,ALCHI,Euronext Growth Paris,EUR
ALD,FR0013258662,ALD,Euronext Paris,EUR
ALEPH FINANCE,GB00BJ9M4V82,MLALE,Euronext Access Paris,EUR
ALFEN,NL0012817175,ALFEN,Euronext Amsterdam,EUR
ALIAXIS,BE0941243520,-,Euronext Expert Market,EUR
ALLFUNDS GROUP,GB00BNTJ3546,ALLFG,Euronext Amsterdam,EUR
ALME INVEST,BE0146350740,-,Euronext Expert Market,EUR
ALMUNDA PRO NV,NL0010696704,AMUND,Euronext Amsterdam,EUR
ALPES (COMPAGNIE),FR0000053324,CDA,Euronext Paris,EUR
ALPHA MOS,FR0013421286,ALNEO,Euronext Growth Paris,EUR
ALSTOM,FR0010220475,ALO,Euronext Paris,EUR
ALTAMIR,FR0000053837,LTA,Euronext Paris,EUR
ALTAREA,FR0000033219,ALTA,Euronext Paris,EUR
ALTAREIT,FR0000039216,AREIT,Euronext Paris,EUR
ALTEN,FR0000071946,ATE,Euronext Paris,EUR
ALTERNUS ENERGY GR,IE00BLRPRP89,ALT,Euronext Growth Oslo,NOK
ALTHEORA,FR0000061244,ALORA,Euronext Growth Paris,EUR
ALTRI SGPS,PTALT0AE0002,ALTR,Euronext Lisbon,EUR
ALTUR INVEST.,FR0010395681,ALTUR,Euronext Paris,EUR
ALUMEXX N.V.,NL0012194724,ALX,Euronext Amsterdam,EUR
ALVEEN,FR0013253812,MLALV,Euronext Access Paris,EUR
AMA CORPORATION,GB00BNKGZC51,ALAMA,Euronext Growth Paris,EUR
AMATHEON AGRI,NL0010273694,MLAAH,Euronext Access Paris,EUR
AMERICAN SHIPPING,NO0010272065,AMSC,Oslo Børs,NOK
AMG,NL0000888691,AMG,Euronext Amsterdam,EUR
AMOEBA,FR0011051598,ALMIB,Euronext Growth Paris,EUR
AMPLITUDE SURGICAL,FR0012789667,AMPLI,Euronext Paris,EUR
AMSTERDAM COMMOD.,NL0000313286,ACOMO,Euronext Amsterdam,EUR
AMUNDI,FR0004125920,AMUN,Euronext Paris,EUR
ANDFJORD SALMON,NO0010829765,ANDF,Euronext Growth Oslo,NOK
ANS ROCOUR,BE0003243426,-,Euronext Expert Market,EUR
ANTARES CERT,BE0003676872,ANT,Euronext Brussels,EUR
ANTIN INFRA PARTN,FR0014005AL0,ANTIN,Euronext Paris,EUR
APERAM,LU0569974404,APAM,Euronext Amsterdam,
APTORUM GROUP CL A,KYG6096M1069,APM,Euronext Paris,EUR
AQUA BIO TECHNO,NO0010307135,ABT,Euronext Expand Oslo,NOK
AQUALISBRAEMAR LOC,NO0010715394,AQUA,Oslo Børs,NOK
AQUILA,FR0010340711,ALAQU,Euronext Growth Paris,EUR
ARAMIS GROUP,FR0014003U94,ARAMI,Euronext Paris,EUR
ARCADIS,NL0006237562,ARCAD,Euronext Amsterdam,EUR
ARCELOR MITT LUX,LU0006047129,-,Euronext Expert Market,EUR
ARCELORMITT SCHIFF,LU0006067663,-,Euronext Expert Market,EUR
ARCELORMITTAL SA,LU1598757687,MT,Euronext Amsterdam,
ARCHER,BMG0451H1170,ARCH,Oslo Børs,NOK
ARCHOS,FR0000182479,ALJXR,Euronext Growth Paris,EUR
ARCTIC BIOSCIENCE,NO0010859580,ABS,Euronext Growth Oslo,NOK
ARCTIC FISH HOLDIN,NO0010917719,AFISH,Euronext Growth Oslo,NOK
ARCTICZYMES TECHNO,NO0010014632,AZT,Oslo Børs,NOK
ARCURE,FR0013398997,ALCUR,Euronext Growth Paris,EUR
ARDOIN ST AMAND A,FR0005057635,MLARD,Euronext Access Paris,EUR
ARDOIN ST AMAND B,FR0004070795,ARDO,Euronext Access Paris,EUR
ARENDALS FOSSEKOMP,NO0003572802,AFK,Oslo Børs,NOK
ARGAN,FR0010481960,ARG,Euronext Paris,EUR
ARGENX SE,NL0010832176,ARGX,Euronext Brussels,EUR
ARGEO,NO0010946593,ARGEO,Euronext Growth Oslo,NOK
ARIMELIA ITG,ES0105601001,MLARI,Euronext Access Paris,EUR
ARKEMA,FR0010313833,AKE,Euronext Paris,EUR
ARKIMEDES FONDS,BE0945331669,-,Euronext Expert Market,EUR
ARMA,BE0051300847,-,Euronext Expert Market,EUR
AROCA DEL PINAR,ES0105486007,MLARO,Euronext Access Paris,EUR
ARRIBATEC GROUP,NO0003108102,ARR,Oslo Børs,NOK
ARTEA,FR0012185536,ARTE,Euronext Paris,EUR
ARTMARKET COM,FR0000074783,PRC,Euronext Paris,EUR
ARTOIS NOM.,FR0000076952,ARTO,Euronext Paris,EUR
ASCENCIO,BE0003856730,ASC,Euronext Brussels,EUR
ASETEK,DK0060477263,ASTK,Oslo Børs,NOK
ASHLER ET MANSON,FR0012968485,MLAEM,Euronext Access Paris,EUR
ASM INTERNATIONAL,NL0000334118,ASM,Euronext Amsterdam,EUR
ASML HOLDING,NL0010273215,ASML,Euronext Amsterdam,EUR
ASR NEDERLAND,NL0011872643,ASRNL,Euronext Amsterdam,EUR
ASSICURAZ.GEN.ORD.,IT0000062072,GEN,Traded not listed Brussels,EUR
ASSYSTEM,FR0000074148,ASY,Euronext Paris,EUR
ASTROCAST,CH1122548808,ASTRO,Euronext Growth Oslo,NOK
ATARI,FR0010478248,ATA,Euronext Paris,EUR
ATEA,NO0004822503,ATEA,Oslo Børs,NOK
ATEME,FR0011992700,ATEME,Euronext Paris,EUR
ATENOR,BE0003837540,ATEB,Euronext Brussels,EUR
ATLANTIC SAPPHIRE,NO0010768500,ASA,Oslo Børs,NOK
ATOS,FR0000051732,ATO,Euronext Paris,EUR
ATRIUM EUR REALEST,JE00B3DCF752,ATRS,Euronext Amsterdam,EUR
AUBAY,FR0000063737,AUB,Euronext Paris,EUR
AUDACIA,FR00140059B5,ALAUD,Euronext Growth Paris,EUR
AUDIENCE LABS,FR0011896463,MLAUD,Euronext Access Paris,EUR
AUDIOVALLEY,BE0974334667,ALAVY,Euronext Growth Paris,
AUGROS COSMETICS,FR0000061780,AUGR,Euronext Paris,EUR
AUPLATA MINING GR,FR0013410370,ALAMG,Euronext Growth Paris,EUR
AUREA,FR0000039232,AURE,Euronext Paris,EUR
AURES TECHNOLOGIES,FR0013183589,AURS,Euronext Paris,EUR
AURORA EIENDOM,NO0011032310,AURA,Euronext Growth Oslo,NOK
AURSKOG SPAREBANK,NO0006001601,AURG,Oslo Børs,NOK
AUSTEVOLL SEAFOOD,NO0010073489,AUSS,Oslo Børs,NOK
AUTOSTORE HOLDINGS,BMG0670A1099,AUTO,Oslo Børs,NOK
AVANCE GAS HOLDING,BMG067231032,AGAS,Oslo Børs,NOK
AVANTIUM,NL0012047823,AVTX,Euronext Amsterdam,
AVENIR TELECOM,FR0013529815,AVT,Euronext Paris,EUR
AWILCO DRILLING,GB00B5LJSC86,AWDR,Oslo Børs,NOK
AWILCO LNG,NO0010607971,ALNG,Euronext Expand Oslo,NOK
AXA,FR0000120628,CS,Euronext Paris,EUR
AXA NV22,FR00140074K5,CSNV,Euronext Paris,EUR
AXACTOR,NO0010840515,ACR,Oslo Børs,NOK
AXWAY SOFTWARE,FR0011040500,AXW,Euronext Paris,EUR
AYFIE GROUP,NO0010793243,AYFIE,Euronext Growth Oslo,NOK
AZ LEASING,IT0004812258,MLAZL,Euronext Access Paris,EUR
AZELIS GROUP,BE0974400328,AZE,Euronext Brussels,EUR
AZERION,NL00150006Z9,AZRN,Euronext Amsterdam,EUR
AZERION WARRANTS,NL00150007A0,AZRNW,Euronext Amsterdam,EUR
AZOREAN TECH,PTAZR0AM0006,MLAAT,Euronext Access Paris,EUR
B&S Group,LU1789205884,BSGR,Euronext Amsterdam,EUR
B.COM.PORTUGUES,PTBCP0AM0015,BCP,Euronext Lisbon,EUR
B2HOLDING,NO0010633951,B2H,Oslo Børs,NOK
BAIKOWSKI,FR0013384369,ALBKK,Euronext Growth Paris,EUR
BAINS MER MONACO,MC0000031187,BAIN,Euronext Paris,EUR
BAKKAFROST,FO0000000179,BAKKA,Oslo Børs,NOK
BALTA GROUP,BE0974314461,BALTA,Euronext Brussels,EUR
BALTIC SEA PROP,NO0010810476,BALT,Euronext Growth Oslo,NOK
BALYO,FR0013258399,BALYO,Euronext Paris,EUR
BAM GROEP KON,NL0000337319,BAMNB,Euronext Amsterdam,EUR
BANCO BILBAO VIZC.,ES0113211835,BBV,Traded not listed Brussels,EUR
BANCO SANTANDER,ES0113900J37,SANTA,Traded not listed Brussels,EUR
BANIMMO A,BE0003870871,BANI,Euronext Brussels,EUR
BANK OF IR NC PREF,IE0000730790,DD7E,Euronext Dublin,EUR
BANK OF IR NCP STF,IE0000730808,DD7D,Euronext Dublin,EUR
BANK OF IRELAND GP,IE00BD1RP616,BIRG,Euronext Dublin,EUR
BARBARA BUI,FR0000062788,BUI,Euronext Paris,EUR
BARCO,BE0974362940,BAR,Euronext Brussels,EUR
BARINGS CORE SPAIN,ES0105362000,MLBAR,Euronext Access Paris,EUR
BARRAMUNDI GROUP,SGXZ33675836,BARRA,Euronext Growth Oslo,NOK
BASIC-FIT,NL0011872650,BFIT,Euronext Amsterdam,EUR
BASILIX CERT,BE0003674851,BAS,Euronext Brussels,EUR
BASSAC,FR0004023208,BASS,Euronext Paris,EUR
BASTIDE LE CONFORT,FR0000035370,BLC,Euronext Paris,EUR
BATLA MINERALS,FR0010436170,MLBAT,Euronext Access Paris,EUR
BD MULTI MEDIA,FR0000035305,ALBDM,Euronext Growth Paris,EUR
BE SEMICONDUCTOR,NL0012866412,BESI,Euronext Amsterdam,EUR
BEACONSMIND,CH0451123589,MLBMD,Euronext Access Paris,EUR
BEAULIEU-AV. CERT,BE0003661726,BEAB,Euronext Brussels,EUR
BEBO HEALTH,CH1148983609,MLBBO,Euronext Access Paris,EUR
BEFIMMO,BE0003678894,BEFB,Euronext Brussels,EUR
BEKAERT,BE0974258874,BEKB,Euronext Brussels,EUR
BELIEVE,FR0014003FE9,BLV,Euronext Paris,EUR
BELRECA,BE0020575115,BELR,Euronext Brussels,EUR
BELSHIPS,NO0003094104,BELCO,Oslo Børs,NOK
BELUGA,BE0003723377,BELU,Euronext Brussels,EUR
BEM INVEST,BE0046318490,-,Euronext Expert Market,EUR
BENETEAU,FR0000035164,BEN,Euronext Paris,EUR
BENFICA,PTSLB0AM0010,SLBEN,Euronext Lisbon,EUR
BERGEN CARBON SOL,NO0010950249,BCS,Euronext Growth Oslo,NOK
BERGENBIO,NO0010650013,BGBIO,Oslo Børs,NOK
BERNARD LOISEAU,FR0000066961,ALDBL,Euronext Growth Paris,EUR
BETER BED,NL0000339703,BBED,Euronext Amsterdam,EUR
BEVER HOLDING,NL0000285278,BEVER,Euronext Amsterdam,EUR
BEWI,NO0010890965,BEWI,Oslo Børs,NOK
BGL BNP PARIBAS,LU0097891112,-,Euronext Expert Market,EUR
BHA,BE0032095854,-,Euronext Expert Market,EUR
BIC,FR0000120966,BB,Euronext Paris,EUR
BIGBEN INTERACTIVE,FR0000074072,BIG,Euronext Paris,EUR
BIL,LU0006040975,-,Euronext Expert Market,EUR
BILENDI,FR0004174233,ALBLD,Euronext Growth Paris,EUR
BIO-UV GROUP,FR0013345493,ALTUV,Euronext Growth Paris,EUR
BIOCARTIS,BE0974281132,BCART,Euronext Brussels,EUR
BIOCORP,FR0012788065,ALCOR,Euronext Growth Paris,EUR
BIOFISH HOLDING,NO0010955198,BFISH,Euronext Growth Oslo,NOK
BIOMERIEUX,FR0013280286,BIM,Euronext Paris,EUR
BIOPHYTIS,FR0012816825,ALBPS,Euronext Growth Paris,EUR
BIOPHYTIS BSA,FR0013507290,BPSBS,Euronext Growth Paris,EUR
BIOSYNEX,FR0011005933,ALBIO,Euronext Growth Paris,EUR
BIOTALYS,BE0974386188,BTLS,Euronext Brussels,EUR
BIP INV. PARTNERS,LU0110790085,-,Euronext Expert Market,EUR
BLACK SEA PROPERTY,NO0010755101,BSP,Euronext Growth Oslo,NOK
BLEECKER,FR0000062150,BLEE,Euronext Paris,EUR
BLUE SHARK POWER,FR0013340973,MLBSP,Euronext Access Paris,EUR
BLUELINEA,FR0011041011,ALBLU,Euronext Growth Paris,EUR
BLUELINEA BSA Y,FR0013480985,BLUBT,Euronext Growth Paris,EUR
BNP PARIBAS ACT.A,FR0000131104,BNP,Euronext Paris,EUR
BNP PARIBAS FORTIS,BE0172505399,-,Euronext Expert Market,EUR
BOA CONCEPT,FR0011365907,ALBOA,Euronext Growth Paris,EUR
BODY ONE,FR0010106039,MLONE,Euronext Access Paris,EUR
BOEING COMPANY,US0970231058,BOEI,Traded not listed Brussels,USD
BOIRON,FR0000061129,BOI,Euronext Paris,EUR
BOIS DU LUC,BE0156880313,-,Euronext Expert Market,EUR
BOIS DU LUC 10E,BE0156881329,-,Euronext Expert Market,EUR
BOLLORE,FR0000039299,BOL,Euronext Paris,EUR
BONDUELLE,FR0000063935,BON,Euronext Paris,EUR
BONE THERAPEUTICS,BE0974280126,BOTHE,Euronext Brussels,
BONHEUR,NO0003110603,BONHR,Oslo Børs,NOK
BOOSTHEAT,FR0011814938,ALBOO,Euronext Growth Paris,EUR
BORGESTAD,NO0003111700,BOR,Oslo Børs,NOK
BORR DRILLING,BMG1466R1732,BORR,Oslo Børs,NOK
BORREGAARD,NO0010657505,BRG,Oslo Børs,NOK
BOSKALIS WESTMIN,NL0000852580,BOKA,Euronext Amsterdam,EUR
BOUFFIOULX-St-NICO,BE0014799556,-,Euronext Expert Market,EUR
BOURRELIER GROUP,FR0000054421,ALBOU,Euronext Growth Paris,EUR
BOURSE DIRECT,FR0000074254,BSD,Euronext Paris,EUR
BOUSSARD GAVAUDAN,GG00B1FQG453,BGHL,Euronext Amsterdam,EUR
BOUSSARD GHL GBP,GG00B39VMM07,BGHS,Euronext Amsterdam,GBP
BOUVET,NO0010360266,BOUV,Oslo Børs,NOK
BOUYGUES,FR0000120503,EN,Euronext Paris,EUR
BOUYGUES NV22,FR0014006U75,ENNV,Euronext Paris,EUR
BPOST,BE0974268972,BPOST,Euronext Brussels,EUR
BQUE NAT. BELGIQUE,BE0003008019,BNB,Euronext Brussels,EUR
BRABANK,NO0010167331,BRA,Euronext Growth Oslo,NOK
BREDERODE,LU1068091351,BREB,Euronext Brussels,EUR
BRIGADE M3 SHA,KYG137071075,BACE,Euronext Amsterdam,USD
BRIGADE M3 UNITS,KYG137071158,BACEU,Euronext Amsterdam,USD
BRIGADE M3 WARR,KYG137071232,BACEW,Euronext Amsterdam,USD
BRILL KON,NL0000442523,BRILL,Euronext Amsterdam,EUR
BROUX-KIGGEN,BE6326475389,-,Euronext Expert Market,EUR
BRUNEL INTERNAT,NL0010776944,BRNL,Euronext Amsterdam,EUR
BUREAU VERITAS,FR0006174348,BVI,Euronext Paris,EUR
BURELLE,FR0000061137,BUR,Euronext Paris,EUR
BW ENERGY LIMITED,BMG0702P1086,BWE,Oslo Børs,NOK
BW Epic Kosan,SGXZ80461361,BWEK,Euronext Growth Oslo,NOK
BW IDEOL,NO0010947385,BWIDL,Euronext Growth Oslo,NOK
BW LPG,BMG173841013,BWLPG,Oslo Børs,NOK
BW OFFSHORE LTD,BMG1738J1247,BWO,Oslo Børs,NOK
BYGGMA,NO0003087603,BMA,Oslo Børs,NOK
CA TOULOUSE 31 CCI,FR0000045544,CAT31,Euronext Paris,EUR
CABASSE GROUP,FR0013530102,ALCG,Euronext Growth Paris,EUR
CADELER,DK0061412772,CADLR,Oslo Børs,NOK
CAFOM,FR0010151589,CAFO,Euronext Paris,EUR
CAIRE,FR0010781377,MLAAE,Euronext Access Paris,EUR
CAIRN HOMES PLC,IE00BWY4ZF18,C5H,Euronext Dublin,EUR
CAMBI,NO0010078850,CAMBI,Euronext Growth Oslo,NOK
CAMBODGE NOM.,FR0000079659,CBDG,Euronext Paris,EUR
CAMPINE,BE0003825420,CAMB,Euronext Brussels,EUR
CANDELA INVEST,BE0974298300,CAND,Euronext Growth Brussels,EUR
CANOPY HOLDINGS,NO0010781560,CAN,Euronext Growth Oslo,NOK
CAPELLI,FR0012969095,CAPLI,Euronext Paris,EUR
CAPGEMINI,FR0000125338,CAP,Euronext Paris,EUR
CARASENT,NO0010123060,CARA,Oslo Børs,NOK
CARBIOS,FR0011648716,ALCRB,Euronext Growth Paris,EUR
CARBON TRANSITION,NO0010778095,CARBN,Euronext Expand Oslo,NOK
CARE PROPERTY INV.,BE0974273055,CPINV,Euronext Brussels,EUR
CARMAT,FR0010907956,ALCAR,Euronext Growth Paris,EUR
CARMILA,FR0010828137,CARM,Euronext Paris,EUR
CARPINIENNE PART.,FR0000064156,CARP,Euronext Paris,EUR
CARREFOUR,FR0000120172,CA,Euronext Paris,EUR
CASINO GUICHARD,FR0000125585,CO,Euronext Paris,EUR
CAST,FR0000072894,CAS,Euronext Paris,EUR
CATANA GROUP,FR0010193052,CATG,Euronext Paris,EUR
CATERING INTL SCES,FR0000064446,CTRG,Euronext Paris,EUR
CATERPILLAR INC,US1491231015,CATR,Euronext Paris,EUR
CBI,FR0014007LW0,ALCBI,Euronext Growth Paris,EUR
CBO TERRITORIA,FR0010193979,CBOT,Euronext Paris,EUR
CBRE H2O,NL0012237614,-,Euronext Expert Market,EUR
CECURITY.COM,FR0010717579,MLCEC,Euronext Access Paris,EUR
CEGEDIM,FR0000053506,CGM,Euronext Paris,EUR
CELLECTIS,FR0010425595,ALCLS,Euronext Growth Paris,EUR
CELYAD ONCOLOGY,BE0974260896,CYAD,Euronext Brussels,
CENERGY,BE0974303357,CENER,Euronext Brussels,EUR
CERINNOV GROUP,FR0013178712,ALPCV,Euronext Growth Paris,EUR
CESAR,FR0013297165,ALCES,Euronext Growth Paris,EUR
CESYNT A SHARES,IT0005402034,MLCSA,Euronext Access Paris,EUR
CESYNT B SHARES,IT0005398877,MLCSB,Euronext Access Paris,EUR
CFE,BE0003883031,CFEB,Euronext Brussels,EUR
CFI,FR0000037475,CFI,Euronext Paris,EUR
CFM INDOSUEZWEALTH,MC0010000826,MLCFM,Euronext Access Paris,EUR
CGG,FR0013181864,CGG,Euronext Paris,EUR
CGG BSA 1,FR0013309614,CGGBS,Euronext Paris,EUR
CGG BSA 2,FR0013309622,CGGBT,Euronext Paris,EUR
CH.FER DEPARTEMENT,FR0000037871,MLCFD,Euronext Access Paris,EUR
CH.FER VAR GARD N.,FR0000051567,MLCVG,Euronext Access Paris,EUR
CHARB BONNIER,BE0010381029,-,Euronext Expert Market,EUR
CHARB. HASARD,BE0003256550,-,Euronext Expert Market,EUR
CHARGEURS,FR0000130692,CRI,Euronext Paris,EUR
CHAUSSERIA,FR0000060907,CHSR,Euronext Paris,EUR
CHEOPS TECHNOLOGY,FR0010447086,MLCHE,Euronext Access Paris,EUR
CHEVRON,US1667641005,CHTEX,Traded not listed Brussels,USD
CHOICE,BE0974370026,MLTV,Euronext Access Brussels,EUR
CHRISTIAN DIOR,FR0000130403,CDI,Euronext Paris,EUR
CIBIX,BE0003706208,-,Euronext Expert Market,EUR
CIBOX INTER A CTIV,FR0000054322,CIB,Euronext Paris,EUR
CIE BOIS SAUVAGE,BE0003592038,COMB,Euronext Brussels,EUR
CIE DU MONT BLANC,FR0000060428,MLCMB,Euronext Access Paris,EUR
Cie HET ZOUTE,BE0027840017,-,Euronext Expert Market,EUR
CIOA,FR0012384907,MLCIO,Euronext Access Paris,EUR
CIRCA GROUP,NO0010917594,CIRCA,Euronext Growth Oslo,NOK
CISCO SYSTEM INC,US17275R1023,CIS,Traded not listed Brussels,USD
CKV,BE0021556221,-,Euronext Expert Market,EUR
CLARANOVA,FR0013426004,CLA,Euronext Paris,EUR
CLASQUIN,FR0004152882,ALCLA,Euronext Growth Paris,EUR
CLEAN SEAS SEAFOOD,AU000000CSS3,CSS,Euronext Growth Oslo,NOK
CLOUDBERRY CLEAN,NO0010876642,CLOUD,Oslo Børs,NOK
CM.COM,NL0012747059,CMCOM,Euronext Amsterdam,EUR
CNIM GROUP,FR0000053399,COM,Euronext Paris,EUR
CNOVA,NL0010949392,CNV,Euronext Paris,EUR
CNP ASSURANCES,FR0000120222,CNP,Euronext Paris,EUR
CO.BR.HA,BE0003519270,COBH,Euronext Growth Brussels,EUR
CO2 CAPSOL,NO0010923121,CAPSL,Euronext Growth Oslo,NOK
Coca-ColaEuropacif,GB00BDCPN049,CCEP,Euronext Amsterdam,EUR
COFACE,FR0010667147,COFA,Euronext Paris,EUR
COFIDUR,FR0013257409,ALCOF,Euronext Growth Paris,EUR
COFINA,,,,
COFINIMMO,BE0003593044,COFB,Euronext Brussels,EUR
COGELEC,FR0013335742,ALLEC,Euronext Growth Paris,EUR
COGRA,FR0011071570,ALCOG,Euronext Growth Paris,EUR
COHERIS,FR0004031763,COH,Euronext Paris,EUR
COIL,BE0160342011,ALCOI,Euronext Growth Paris,EUR
COLAS,FR0000121634,RE,Euronext Paris,EUR
COLIPAYS,FR0010959684,MLCLP,Euronext Access Paris,EUR
COLRUYT,BE0974256852,COLR,Euronext Brussels,EUR
COMMERCIALE BELGE,BE0013068706,-,Euronext Expert Market,EUR
COMPAGNIE ODET,FR0000062234,ODET,Euronext Paris,EUR
CONDOR TECHNOLOG,BE6252013725,MLMFI,Euronext Access Paris,EUR
CONDURIL,PTCDU0AE0003,CDU,Euronext Access Lisbon,EUR
CONSORT NT,FR0000077828,MLCNT,Euronext Access Paris,EUR
